<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.08.18	08:00:00	26240.00	26507.00	26236.00	26420.00	1408	0	3100
2023.08.18	09:00:00	26420.00	26585.00	26420.00	26487.00	1333	0	2600
2023.08.18	10:00:00	26485.00	26506.00	26399.00	26406.00	775	0	2600
2023.08.18	11:00:00	26406.00	26571.00	26400.00	26568.00	839	0	2600
2023.08.18	12:00:00	26568.00	26588.00	26412.00	26435.00	693	0	2600
2023.08.18	13:00:00	26435.00	26450.00	26372.00	26432.00	704	0	2600
2023.08.18	14:00:00	26432.00	26488.00	26355.00	26467.00	840	0	2600
2023.08.18	15:00:00	26467.00	26474.00	26301.00	26305.00	1211	0	2600
2023.08.18	16:00:00	26305.00	26364.00	26198.00	26217.00	1816	0	2600
2023.08.18	17:00:00	26218.00	26285.00	25967.00	25990.00	2568	0	2600
2023.08.18	18:00:00	25990.00	26229.00	25907.00	25978.00	2855	0	2600
2023.08.18	19:00:00	25978.00	26119.00	25746.00	25873.00	1793	0	2600
2023.08.18	20:00:00	25873.00	26076.00	25601.00	25980.00	4073	0	2600
2023.08.18	21:00:00	25980.00	26279.00	25895.00	26097.00	2209	0	2200
2023.08.18	22:00:00	26097.00	26117.00	25964.00	26035.00	1621	0	2000
2023.08.18	23:00:00	26036.00	26216.00	26021.00	26092.00	928	0	2000
2023.08.19	01:00:00	26044.00	26099.00	26023.00	26056.00	619	0	2000
2023.08.19	02:00:00	26056.00	26081.00	25993.00	26040.00	523	0	2000
2023.08.19	03:00:00	26040.00	26135.00	26005.00	26082.00	575	0	2000
2023.08.19	04:00:00	26082.00	26084.00	26001.00	26004.00	569	0	2000
2023.08.19	05:00:00	26004.00	26054.00	25982.00	25992.00	565	0	2000
2023.08.19	06:00:00	25992.00	25992.00	25912.00	25953.00	711	0	2000
2023.08.19	07:00:00	25953.00	25991.00	25905.00	25972.00	365	0	2000
2023.08.19	08:00:00	25972.00	25978.00	25861.00	25869.00	740	0	2000
2023.08.19	09:00:00	25869.00	25909.00	25816.00	25825.00	616	0	2000
2023.08.19	10:00:00	25825.00	25898.00	25791.00	25896.00	885	0	2000
2023.08.19	11:00:00	25896.00	25979.00	25876.00	25918.00	766	0	2000
2023.08.19	17:00:00	25964.00	25964.00	25963.00	25964.00	3	0	2000
2023.08.19	18:00:00	25965.00	26212.00	25946.00	26204.00	1601	0	2000
2023.08.19	19:00:00	26204.00	26265.00	26105.00	26241.00	1423	0	2000
2023.08.19	20:00:00	26241.00	26241.00	26065.00	26078.00	961	0	2000
2023.08.19	21:00:00	26078.00	26130.00	26019.00	26118.00	692	0	2000
2023.08.19	22:00:00	26118.00	26152.00	26089.00	26117.00	359	0	2000
2023.08.19	23:00:00	26117.00	26150.00	26029.00	26040.00	816	0	2000
2023.08.20	00:00:00	26046.00	26087.00	26039.00	26070.00	308	0	2000
2023.08.20	01:00:00	26070.00	26085.00	26037.00	26047.00	255	0	2000
2023.08.20	02:00:00	26047.00	26116.00	26047.00	26092.00	277	0	2000
2023.08.20	03:00:00	26092.00	26186.00	26075.00	26178.00	366	0	2000
2023.08.20	04:00:00	26178.00	26206.00	26034.00	26063.00	566	0	2000
2023.08.20	05:00:00	26063.00	26091.00	26038.00	26080.00	307	0	2000
2023.08.20	06:00:00	26080.00	26124.00	26079.00	26090.00	278	0	2000
2023.08.20	07:00:00	26090.00	26118.00	26086.00	26107.00	171	0	2000
2023.08.20	08:00:00	26107.00	26146.00	26056.00	26075.00	347	0	2000
2023.08.20	09:00:00	26075.00	26079.00	26036.00	26052.00	333	0	2000
2023.08.20	10:00:00	26052.00	26080.00	26048.00	26076.00	182	0	2000
2023.08.20	13:00:00	26131.00	26145.00	26112.00	26136.00	360	0	2000
2023.08.20	14:00:00	26136.00	26187.00	26128.00	26170.00	467	0	2000
2023.08.20	15:00:00	26170.00	26190.00	26131.00	26179.00	331	0	2000
2023.08.20	16:00:00	26179.00	26210.00	26121.00	26129.00	498	0	2000
2023.08.20	17:00:00	26129.00	26139.00	26055.00	26056.00	556	0	2000
2023.08.20	18:00:00	26056.00	26124.00	25970.00	26097.00	978	0	2000
2023.08.20	19:00:00	26097.00	26112.00	26001.00	26044.00	473	0	2000
2023.08.20	20:00:00	26044.00	26152.00	26022.00	26116.00	517	0	2000
2023.08.20	21:00:00	26116.00	26145.00	26101.00	26107.00	326	0	2000
2023.08.20	22:00:00	26107.00	26135.00	26102.00	26130.00	199	0	2000
2023.08.20	23:00:00	26130.00	26286.00	26130.00	26214.00	903	0	2000
2023.08.21	00:00:00	26232.00	26232.00	26138.00	26170.00	541	0	2000
2023.08.21	01:00:00	26170.00	26213.00	26170.00	26201.00	290	0	2000
2023.08.21	02:00:00	26201.00	26201.00	26146.00	26184.00	281	0	2000
2023.08.21	03:00:00	26184.00	26188.00	26113.00	26131.00	438	0	2000
2023.08.21	04:00:00	26131.00	26159.00	26075.00	26137.00	677	0	2000
2023.08.21	05:00:00	26137.00	26152.00	26073.00	26088.00	382	0	2000
2023.08.21	06:00:00	26088.00	26101.00	26060.00	26080.00	280	0	2000
2023.08.21	07:00:00	26080.00	26080.00	26025.00	26051.00	358	0	2000
2023.08.21	08:00:00	26051.00	26176.00	26039.00	26088.00	658	0	2000
2023.08.21	09:00:00	26088.00	26106.00	26011.00	26012.00	383	0	2000
2023.08.21	10:00:00	26012.00	26031.00	25982.00	26007.00	455	0	2000
2023.08.21	11:00:00	26007.00	26054.00	25971.00	26042.00	533	0	2000
2023.08.21	12:00:00	26042.00	26068.00	25985.00	26013.00	365	0	2000
2023.08.21	13:00:00	26013.00	26013.00	25872.00	25928.00	1373	0	2000
2023.08.21	14:00:00	25928.00	26029.00	25915.00	26018.00	517	0	2000
2023.08.21	15:00:00	26018.00	26066.00	25977.00	25985.00	690	0	2000
2023.08.21	16:00:00	25985.00	26134.00	25971.00	26117.00	898	0	2000
2023.08.21	17:00:00	26119.00	26185.00	26045.00	26094.00	1286	0	2000
2023.08.21	18:00:00	26094.00	26121.00	25807.00	25932.00	2359	0	2000
2023.08.21	19:00:00	25932.00	26040.00	25932.00	26005.00	932	0	2000
2023.08.21	20:00:00	26005.00	26062.00	25994.00	26042.00	556	0	2000
2023.08.21	21:00:00	26042.00	26101.00	26019.00	26024.00	474	0	2000
2023.08.21	22:00:00	26024.00	26154.00	26024.00	26084.00	782	0	2000
2023.08.21	23:00:00	26084.00	26149.00	26079.00	26103.00	551	0	2000
2023.08.22	00:00:00	26104.00	26235.00	26071.00	26192.00	567	0	2000
2023.08.22	01:00:00	26192.00	26192.00	26121.00	26122.00	337	0	2000
2023.08.22	02:00:00	26122.00	26142.00	26110.00	26121.00	237	0	2000
2023.08.22	03:00:00	26121.00	26134.00	26085.00	26090.00	355	0	2000
2023.08.22	04:00:00	26090.00	26096.00	26036.00	26036.00	386	0	2000
2023.08.22	05:00:00	26036.00	26055.00	26031.00	26052.00	244	0	2000
2023.08.22	06:00:00	26052.00	26061.00	26012.00	26045.00	236	0	2000
2023.08.22	07:00:00	26045.00	26045.00	25987.00	25999.00	224	0	2000
2023.08.22	08:00:00	25999.00	26032.00	25983.00	26024.00	306	0	2000
2023.08.22	09:00:00	26024.00	26077.00	26010.00	26048.00	379	0	2000
2023.08.22	10:00:00	26048.00	26101.00	26041.00	26085.00	346	0	2000
2023.08.22	11:00:00	26085.00	26095.00	26036.00	26046.00	278	0	2000
2023.08.22	12:00:00	26046.00	26072.00	26019.00	26035.00	277	0	2000
